Vocab,Collocation 1,Collocation 2,Collocation 3
sink,a kitchen sink,unblock the sink,sink like a stone
acquire,acquire a skill,newly acquired,acquire a language
panel,a review panel,a panel beater,a panel of experts
typical,a typical example of,a typical Japanese dish,is typical of his work
yours,a friend of yours,that book of yours,it's yours for the asking
reserve,cash reserves,a nature reserve,draw upon reserves
advise,legally advise,would strongly advise against,would be ill advised to
emotion,deep emotion,be filled with emotion,a display of emotion
prime,Prime minister,a prime location,prime a pump
coal,a piece of coal,a coal mine,red-hot coals
mirror,a bathroom mirror,look at yourself in the mirror,break a mirror
appointment,an urgent appointment,an executive appointment,make an appointment
tail,wag a tail,from nose to tail,a tail section
broken,get broken,badly broken,a broken promise
darkness,complete darkness,darkness descended,under the cover of darkness
emotional,tend to get emotional,provide emotional support for,make an emotional appeal for
apple,apple cider,apple pie,an apple core
fund,an investment fund,insufficient funds,a fund raiser
burst,a sudden burst of,burst into the room,be bursting with ideas
stomach,work on an empty stomach,have a stomachache,strengthen your stomach muscles
appreciate,I'd appreciate it if you,deeply appreciate,is not fully appreciated
indicate,indicated his willingness to,Our data indicates that,Research indicates that
autumn,autumn leaves,autumn rain,glow with autumn colors
fashion,the latest fashion,a fashion model,come into fashion
lawyer,practice as a lawyer,a corporate lawyer,a divorce lawyer
gentle,a gentle voice,a gentle form of exercise,be gentle with her
alternative,an acceptable alternative,offer an alternative,have little alternative but to
suggestion,a constructive suggestion,offer a suggestion,a suggestion box for bright ideas
sugar,cut sugar out of my diet,elevation of blood sugar levels,contains no added sugar
pleased,I am pleased to announce that,be very pleased with this offer,express how pleased I am
sheep,a stray sheep,a sheep dog,a new breed of sheep
blind,totally blind from birth,as blind as a bat,guide dogs for the blind
mental,the causes of mental illness,do a quick bit of mental arithmetic,the rights of the mentally ill
shift,a dramatic shift in the policy,a shift worker,shift the blame onto others
code,break the code,a dress code for civil servants,a code of ethics
faith,blind faith,have no faith in the current system,a total act of faith
