Vocab,Collocation 1,Collocation 2,Collocation 3
truck,a delivery truck,load a truck with medical supplies,a truck driver
protection,be under police protection,give good protection from the rain,provide protection against cancer
conference,a news conference,attend the conference,hold a conference on education
guilty,his guilty conscience,plead guilty to the charge,be found guilty of bribery
injury,suffer a serious injury,do yourself an injury,treat him for minor injuries
smooth,a very smooth ride,a smooth transition of power,the smooth running of the office
trick,try a dirty trick,play tricks on him,a magic trick
politician,a leading politician,the country's elected politicians,arrest the corrupt politician
upset,be deeply upset about it,wake up with an upset stomach,feel very upset
swing,kids playing on the swings,a big swing towards the ideology,suffer from mood swings
softly,speak very softly,cry softly,sing softly to the baby
transport,travel on public transport,have your own transport,the only means of transport
humor,have a sense of humor,moments of black humor,with his own brand of humor
legal,perfectly legal,seek legal advice,a legal requirement
relatively,relatively recent phenomena,is relatively easy to use,relatively speaking
conclusion,a logical conclusion,jump to a conclusion,reach a conclusion
ban,seek a total ban on smoking,impose a ban on nuclear testing,call for a ban on gun ownership
necessarily,necessarily involves,does not necessarily mean,is not necessarily true
pen,a pen-and-ink drawing,with a stroke of his pen,fill out the form in pen
boot,put on their rubber boots,need a new pair of leather boots,boots caked with mud
pot,a melting pot of races,make a pot of coffee,herbs growing in pots
shortly,is due to arrive shortly,shortly after his arrival,shortly before her departure
grave,be buried in a mass grave,dig your own grave,take the secret to the grave
cash,pay fines in cash,is strapped for cash to pay taxes,raise cash for the needy
attach,attach a photo to the form,attach great importance to health,become attached to the children
port,a small fishing port,was about to leave port,my first port of call
strategy,the most effective strategy,develop new strategies,a strategy for dealing with crime
cast,cast new light on the theory,cast serious doubt on the news,cast a shadow over the ceremony
perception,drugs that alter perception,the public perception of the leader,visual perception
text,store 500 pages of text,send you a text message,the full text of his speech
odd,do odd jobs for neighbors,was an odd thing to say,wear odd socks
encounter,his first encounter with her,after a chance encounter at the hotel,a close encounter with a snake
locate,precisely locate the source of the signal,be located in an earthquake zone,be conveniently located near the station
wise,a wise move,a wise precaution,a wise investment
reward,give them rewards for passing exams,reap the rewards of all her hard work,offer a reward of $20000
honest,make an honest living,to be (perfectly) honest,want my honest opinion
