Vocab,Collocation 1,Collocation 2,Collocation 3
comment,a critical comment,make a comment,be unavailable to comment
studio,an art studio,a sound studio,a recording studio
naturally,natural disasters,natural resources,die of natural causes
profit,a large profit,increase profits,profit after tax
existence,a continued existence,establish the existence of,a hand-to-mouth existence
cream,whipped cream,beat cream,facial cream
warn,a firm warning,a storm warning,warning signs
excellent,consider excellent,be in excellent condition,absolutely excellent
hero,an all-time hero,a reluctant hero,give him a hero's welcome
ah,Ah there you are!,Ah well better luck next time.,Ah this is the life.
recover,completely recover,struggle to recover,recover from his operation
discovery,an amazing discovery,make a discovery,the process of discovery
iron,rusty iron,contain iron,run an iron over
specific,Can you be more specific?,for a specific purpose,be specific to this part of Japan
potential,great potential,show potential,true potential
trial,a criminal trial,stand trial,by trial and error
citizen,a naturalized citizen,a decent citizen,a senior citizen
responsible,be entirely responsible for,legally responsible,environmentally responsible
collection,an extensive collection,rubbish collection,a charity collection
sand,desert sand,a sand castle,a sand pit
crisis,a cash crisis,be faced with a crisis,in times of crisis
complain,complain bitterly,have cause to complain,complain about
countryside,the beautiful countryside,wander the countryside,the green countryside
bowl,a food bowl,eat from a bowl,an empty bowl
congress,an international congress,attend a congress,a member of congress
ocean,the tropical ocean,the ocean floor,an ocean liner
fat,fat chance,grow fatter and fatter,a big fat book
vast,vast amounts of money,in vast numbers,a vast improvement in
nervous,You're making me nervous.,say with a nervous laugh,suffer a nervous breakdown
widely,widely known,wide of the mark,leave the door wide open
rapidly,make a rapid recovery,in rapid succession,experience rapid growth
equipment,state-of-the-art equipment,laboratory equipment,a piece of equipment
dish,a cooking dish,wash the dishes,favorite dish
equally,equal in every way,be born equal,be of equal value
status,high status,status symbol,marital status
beneath,sink beneath the waves,buried beneath a pile of leaves,considers the job beneath him
