Vocab,Collocation 1,Collocation 2,Collocation 3
folk,young folk these days,visit my folks,folk music
drawing,do a few pencil drawings,a scale drawing of the new room,make detailed drawings of animals
impress,impress on us the need for,be very impressed with the result,impress itself on my memory
volume,the total volume of traffic,turn up the volume,grow in volume
gene,the functions of human genes,disease caused by a defective gene,the ethics of gene therapy
cloth,wipe it with a damp cloth,a clean cloth for the table,a dress of the finest silk cloth
wound,suffer multiple wounds,to die of gunshot wounds,inflict serious wounds
airport,expand the local airport,an airport terminal,see her off at the airport
awful,a pretty awful taste,smell awful,an awful lot of people
pleasant,a pleasant surprise,create a pleasant atmosphere,a place with a pleasant climate
elephant,a herd of elephants,the dwindling elephant population,the African elephant
remark,in his closing remarks,make personal remarks about him,take his remarks at face value
arise,matters arising from the report,questions that arose in the process,if the need arises
ease,break the codes with ease,feel completely at ease,look ill at ease in a suit
pole,reach the South Pole,are at opposite poles on this issue,are poles apart in character
enormous,have enormous consequences,an enormous amount of money,make an enormous effort
pride,take great pride in your work,hurt your pride,is a source of national pride
urge,satisfy his urge to travel,resist a constant urge to,feel the urge for a cigarette
drama,ancient Greek drama,a night of high drama,the medical drama ER
tennis,have a game of tennis,play tennis,a member of the local tennis club
passage,walk down a narrow passage,quote a passage from the text,with the passage of time
rescue,the failed rescue attempt,come to our rescue,be on a search and rescue mission
destruction,the destruction of the forests,lead to the destruction of,stop the destruction of
gaze,fix his intense gaze on the wall,drop her gaze,meet her steady gaze
predict,predict the weather accurately,is impossible to predict with any degree of certainty,a method of predicting earthquakes
protein,a diet high in protein,essential proteins and vitamins,a valuable source of protein
cap,a baseball cap,put the cap back on the pen,place a cap on spending
taxi,go by taxi,take a taxi to the hotel,a taxi fare
laboratory,laboratory experiments,was sent to the laboratory for analysis,was confirmed by the laboratory tests
diet,the importance of a balanced diet,go on a low-fat diet,eat a healthy diet
platform,leave from platform five,a kiosk on the station platform,in the platforms of political parties
convinced,did not sound very convinced,was firmly convinced of,is not totally convinced of
grab,grab your attention,grab a quick breakfast,grab him by the collar
shore,reach the opposite shore,sit on the shore,the trees along the shore
latter,in the latter half of his life,during the latter part of May,in the latter case
firmly,firmly believe that,press firmly on the wound,grasp him firmly by the wrist
